Node Id,Node Title,Related Nodes,Prereq Nodes,Next Nodes,Content,Question,
1048,Frame Navigation (Descendant Policy),,1047,,Frame navigation is the ability of one frame to change or reload the content of another frame. Browsers use the descendant Policy to decide if a frame can navigate another frame. The descendant policy states that a frame can only navigates frame that are among its descendents. ,,
1049,Cookies: intro,,1048,1052,,,
1050,Secure UI,,1049,,,,
1051,Framebusting,1046,1050,,,,
1052,Cookies,,1051,,,,
1053,Cookie Protocol,,1052,,,,
1054,Session Management,,1053,,,,
1055,Session Hijacking,,1054,,Techniques that attackers use to steal session tokens and how to prevent them.,,
1056,Generating Session Tokens,,1055,,What information goes into session tokens,,
1057,Command Injection,,1056,,,,
1058,SQL Injection,,1057,,"SQL injection is a technique often used to attack databases 
through a website. This is done by including portions of SQL statements 
in a web form entry field in an attempt to get the website to pass a 
newly formed rogue SQL command to the database (e.g. dump the database 
contents to the attacker).",,
1059,Cross Site Scripting,,1044,,Cross-site scripting (XSS) is a vulnerabilty found in web applications that uses browser vulnerabilities to inject sclient-side scripts into web pages viewed by other users.,,
1060,Cross Site Request Forgery,,1059,,,,
1061,input validation,,"1057,1058",,,,
1062,Blacklisting,1063,1061,,"A blacklist is a list of entities that are being denied a particular privilege, service, mobility, access or recognition.",,
1063,Whitelisting,1062,1061,,"A Whitelist is a list of entities that are being provided a particular privilege, service, mobility, access or recognition.",,
1064,Input escaping,,"1057,1058",,,,
1065,Less Powerful API,,"1057,1058",,,,
1066,HTTP Request,,1059,,,,
1067,Network Request,,1059,,,,
1068,Origin Header,,1059,,,,
1069,Nonce Based Protection,,1059,,,,
1070,Same Origin Policy,,1052,,"The Same Origin policy permits scripts running on pages originating from the same 
site to access each other's methods and properties with no specific 
restrictions, but prevents access to most methods and properties across 
pages on different sites",,
1071,Read/Write Cookies,,1052,,differently by server and clients,,
1072,Scope setting rules,,1052,,,,
1073,cryptographic checksums,,1052,,,,
1074,minimal client-side state,1075,1073,,,,
1075,lots of client-side state,1074,1073,,,,
1076,Session Hijacking,,1053,,,,
1077,Session Token Theft,,1076,,,,
1078,Session Fixation,,1077,,,,
1079,HTTP Authentication,,1053,,,,
1080,HTTP Referer Header,,1053,,,,
1081,HTTP Response,,1066,,,,
1082,DOM,,,,Document Object Model,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1099,Application Market Place,,,"1100,1101,1102,1103","Market places are where mobile device users go to download applications. These market places are generally, but not always, run by the developer of the mobile operating system. They provide a centralized location for developers to distribute applications to users. Billions of applications have been downloaded from these market places.",,
1100,Unvetted,,1099,,Applications can be uploaded to the market place with out an approval process. Applications are immediately published and available to users     Ex: Android Marketplace/Google Play,"What are the pitfalls of an unvetted application store? How would you categorize, vetted or unvetted, the way in which applications are delivered on non-mobile platforms?",
1101,Vetted,,1099,,All applications are subject to an approval process. Applications can be denied access to the market place based on any criteria (what ever the whims of the approving party may be)           Ex: iOS App Store,What are the disadvantages of a vetted app store?,
1102,Application Signing,,1099,,"Both vetted and unvetted application stores contain signed applications. These are applications in which the binaries and associated content are digitally signed by the application developer using that developer's private certificate. On vetted stores, this is done to ensure the application has gone through the necessary approval process. On both types of stores, it is done to ensure that the application has originated from a known developer or entity.",,
1103,Kill Switch,,1103,,"Both vetted and unvetted platforms can employ what is known as a ""kill switch"" or the ability to remotely disable applications on a user's device. Often, this amounts to revoking the digital certificate of the signed application. This has been used to disable malicious applications","What concerns might the public have about ""kill switches"" disabling applications on phones?",
1104,Mobile Security Model,"1099,1100,1101,1102,1103",,,,,
1105,Isolation/Sandboxing,,,1106,"Application are ""sandboxed"" from each other at install time. This is to say, that each application is confined to it's own directory, unable to interact with other applications or modify external files.",,
1106,Privilege/Permission Management,,1105,,Mobile operating systems can use privilege mechanisms to allow for applications to interact with one another. Certain applications can afford powers to applications with the associated privileges. The implementation and usage of these types of system vary from OS to OS ,,
1107,Android Security Model,,"1099,1100,1101,1102,1103,1104,1105,1106","1108,1111",FILL IN,,
1108,APK,,1107,"1109,1110","The delivery and storage mechanism for Android applications. It is a ""zipped"" archive containing the directory structure, binaries, manifest, and other necessary files for the application",,
1109,Dalvik VM/Java,,1108,,,,
1110,Permissions,,1108,,Android Manifest ........,,
1111,Intents,1110,,,,,
1112,Intent Based Attacks,,1111,,"Permissions are granted during install time. Users often will simply afford applications any permissions they request, often allowing malicious applications to gain many permissions within the system. This can lead to malicious applications subverting the sandboxing security measures in place.",,
1113,Intent Hijacking,1114,1112,,"Malicious application has the same permissions as a legitimate application, and intercepts intents targeted toward the legitimate app. For example, if a malicious application has the same permissions as the web browser, it can intercept any intent containing URLs for the web browser, and track the user's online movements.",,
1114,Intent Spoofing,1113,1112,,"Malicious applications can generate intents and target them toward applications with higher levels of permissions. In this way, if the malicious application is able to control the target application, it can perform functions that it normally would not be permitted to do.",,
